m,y,tipo,t,nombremes
1,1969,max,23,Enero 
1,1969,max,24,Enero 
1,1969,max,27.5,Enero 
1,1969,max,25.5,Enero 
1,1969,max,26.5,Enero 
1,1969,max,27.5,Enero 
1,1969,max,27.5,Enero 
1,1969,max,15.5,Enero 
1,1969,max,13.5,Enero 
1,1969,max,17,Enero 
1,1969,max,19,Enero 
1,1969,max,20,Enero 
1,1969,max,17,Enero 
1,1969,max,15,Enero 
1,1969,max,17.5,Enero 
1,1969,max,15.5,Enero 
1,1969,max,16,Enero 
1,1969,max,17.5,Enero 
1,1969,max,17.5,Enero 
1,1969,max,17.5,Enero 
1,1969,max,17,Enero 
1,1969,max,16,Enero 
1,1969,max,17.5,Enero 
1,1969,max,15.5,Enero 
1,1969,max,15,Enero 
1,1969,max,20,Enero 
1,1969,max,14,Enero 
1,1969,max,11.5,Enero 
1,1969,max,12.5,Enero 
1,1969,max,15,Enero 
1,1969,max,15,Enero 
2,1969,max,16,Febrero
2,1969,max,20.5,Febrero
2,1969,max,24.5,Febrero
2,1969,max,18.5,Febrero
2,1969,max,14,Febrero
2,1969,max,13.5,Febrero
2,1969,max,16.5,Febrero
2,1969,max,20,Febrero
2,1969,max,19.5,Febrero
2,1969,max,21.5,Febrero
2,1969,max,21.5,Febrero
2,1969,max,14.5,Febrero
2,1969,max,14,Febrero
2,1969,max,15,Febrero
2,1969,max,14.5,Febrero
2,1969,max,20.5,Febrero
2,1969,max,18.5,Febrero
2,1969,max,12.5,Febrero
2,1969,max,11,Febrero
2,1969,max,14.5,Febrero
2,1969,max,15,Febrero
2,1969,max,9.5,Febrero
2,1969,max,12.5,Febrero
2,1969,max,15,Febrero
2,1969,max,15,Febrero
2,1969,max,15.5,Febrero
2,1969,max,17,Febrero
2,1969,max,17,Febrero
3,1969,max,15,Marzo
3,1969,max,21,Marzo
3,1969,max,13,Marzo
3,1969,max,12.5,Marzo
3,1969,max,12,Marzo
3,1969,max,13,Marzo
3,1969,max,13,Marzo
3,1969,max,14.5,Marzo
3,1969,max,12.5,Marzo
3,1969,max,10,Marzo
3,1969,max,14,Marzo
3,1969,max,15,Marzo
3,1969,max,11,Marzo
3,1969,max,15,Marzo
3,1969,max,20.5,Marzo
3,1969,max,21.5,Marzo
