meses,mes_id,tempmin,tempmax,year
Enero ,1,3.5,19.5,1941
Enero ,1,2.5,21.5,1941
Enero ,1,5.5,23.5,1941
Enero ,1,7.5,19,1941
Enero ,1,-4.5,21.5,1941
Enero ,1,-2.5,23.5,1941
Enero ,1,-3.5,23.5,1941
Enero ,1,-1,24.5,1941
Enero ,1,3,20.5,1941
Enero ,1,7,19,1941
Enero ,1,5,22,1941
Enero ,1,7.5,24.5,1941
Enero ,1,3.5,23,1941
Enero ,1,3.5,22.3,1941
Enero ,1,2,19.5,1941
Enero ,1,5,18,1941
Enero ,1,-1.5,21.5,1941
Enero ,1,-5,13,1941
Enero ,1,-1.5,20,1941
Enero ,1,-3,23.5,1941
Enero ,1,3.5,21,1941
Enero ,1,2,23,1941
Enero ,1,3.5,23.5,1941
Enero ,1,-5,23,1941
Enero ,1,0.5,24.5,1941
Enero ,1,-1,25,1941
Enero ,1,1,23.5,1941
Enero ,1,2.5,24.5,1941
Enero ,1,3.5,22,1941
Enero ,1,6.5,21.5,1941
Enero ,1,9.5,16,1941
Enero ,1,4,22.5,1942
Enero ,1,7,20.5,1942
Enero ,1,6.5,21,1942
Enero ,1,-3,22.5,1942
Enero ,1,-2.5,23.5,1942
Enero ,1,0.5,22.5,1942
Enero ,1,8.5,24,1942
Enero ,1,0.5,24.5,1942
Enero ,1,0,26.5,1942
Enero ,1,1.5,26,1942
Enero ,1,1,21,1942
Enero ,1,-1.5,23,1942
Enero ,1,1,24.5,1942
Enero ,1,6,24.5,1942
Enero ,1,3.5,20.5,1942
Enero ,1,1.5,23.5,1942
Enero ,1,1.5,24,1942
Enero ,1,0.5,22,1942
Enero ,1,1.5,23.5,1942
Enero ,1,1.5,19,1942
Enero ,1,7.5,12,1942
Enero ,1,2.5,13,1942
Enero ,1,-0.5,23,1942
Enero ,1,3,23.5,1942
Enero ,1,1.5,24,1942
Enero ,1,0.5,25.5,1942
Enero ,1,0.5,24,1942
Enero ,1,0.5,25.5,1942
Enero ,1,7.5,19,1942
Enero ,1,3,24,1942
Enero ,1,2.5,22.5,1942
Enero ,1,-4.5,22,1943
Enero ,1,-5,23,1943
Enero ,1,2,24,1943
Enero ,1,3,25.5,1943
Enero ,1,2,19,1943
Enero ,1,3.5,17,1943
