"","mes","ms","FECHA","PRECIPmm","EVAPmm","tmin","tmax","date","año"
"1","Enero ",1,"01/01/1941","0","3.3",3.5,19.5,1941-01-01,"1941"
"2","Enero ",1,"02/01/1941","0","3.8",2.5,21.5,1941-01-02,"1941"
"3","Enero ",1,"03/01/1941","0","5.8",5.5,23.5,1941-01-03,"1941"
"4","Enero ",1,"04/01/1941","0","5.7",7.5,19,1941-01-04,"1941"
"5","Enero ",1,"05/01/1941","0","5",-4.5,21.5,1941-01-05,"1941"
"6","Enero ",1,"06/01/1941","0","4.9",-2.5,23.5,1941-01-06,"1941"
"7","Enero ",1,"07/01/1941","0","8.1",-3.5,23.5,1941-01-07,"1941"
"8","Enero ",1,"08/01/1941","0","5.3",-1,24.5,1941-01-08,"1941"
"9","Enero ",1,"09/01/1941","0.1","3.6",3,20.5,1941-01-09,"1941"
"10","Enero ",1,"10/01/1941","0.2","2.9",7,19,1941-01-10,"1941"
"11","Enero ",1,"11/01/1941","0.2","3.6",5,22,1941-01-11,"1941"
"12","Enero ",1,"12/01/1941","0","5.1",7.5,24.5,1941-01-12,"1941"
"13","Enero ",1,"13/01/1941","0","6.4",3.5,23,1941-01-13,"1941"
"14","Enero ",1,"14/01/1941","0","6.5",3.5,22.3,1941-01-14,"1941"
"15","Enero ",1,"15/01/1941","0","6.8",2,19.5,1941-01-15,"1941"
"16","Enero ",1,"16/01/1941","0","4.9",5,18,1941-01-16,"1941"
"17","Enero ",1,"17/01/1941","0","4.5",-1.5,21.5,1941-01-17,"1941"
"18","Enero ",1,"18/01/1941","0","4.7",-5,13,1941-01-18,"1941"
"19","Enero ",1,"19/01/1941","0","4.4",-1.5,20,1941-01-19,"1941"
"20","Enero ",1,"20/01/1941","0","5.5",-3,23.5,1941-01-20,"1941"
"21","Enero ",1,"21/01/1941","0","5.3",3.5,21,1941-01-21,"1941"
"22","Enero ",1,"22/01/1941","0","6",2,23,1941-01-22,"1941"
"23","Enero ",1,"23/01/1941","0","6.2",3.5,23.5,1941-01-23,"1941"
"24","Enero ",1,"24/01/1941","0","6.1",-5,23,1941-01-24,"1941"
"25","Enero ",1,"25/01/1941","0","7.8",0.5,24.5,1941-01-25,"1941"
"26","Enero ",1,"26/01/1941","0","7.3",-1,25,1941-01-26,"1941"
"27","Enero ",1,"27/01/1941","0","5.1",1,23.5,1941-01-27,"1941"
"28","Enero ",1,"28/01/1941","0","7",2.5,24.5,1941-01-28,"1941"
"29","Enero ",1,"29/01/1941","0","4.4",3.5,22,1941-01-29,"1941"
"30","Enero ",1,"30/01/1941","7.5","4",6.5,21.5,1941-01-30,"1941"
"31","Enero ",1,"31/01/1941","42.5","3.6",9.5,16,1941-01-31,"1941"
"32","Enero ",1,"01/01/1942","0","1.7",4,22.5,1942-01-01,"1942"
"33","Enero ",1,"02/01/1942","0","9",7,20.5,1942-01-02,"1942"
"34","Enero ",1,"03/01/1942","0","8",6.5,21,1942-01-03,"1942"
"35","Enero ",1,"04/01/1942","0","7.7",-3,22.5,1942-01-04,"1942"
"36","Enero ",1,"05/01/1942","0","5.5",-2.5,23.5,1942-01-05,"1942"
"37","Enero ",1,"06/01/1942","0","1.9",0.5,22.5,1942-01-06,"1942"
"38","Enero ",1,"07/01/1942","0","4.6",8.5,24,1942-01-07,"1942"
"39","Enero ",1,"08/01/1942","0","6.5",0.5,24.5,1942-01-08,"1942"
"40","Enero ",1,"09/01/1942","0","5.5",0,26.5,1942-01-09,"1942"
"41","Enero ",1,"10/01/1942","0","4.4",1.5,26,1942-01-10,"1942"
"42","Enero ",1,"11/01/1942","0","3",1,21,1942-01-11,"1942"
"43","Enero ",1,"12/01/1942","0","3.8",-1.5,23,1942-01-12,"1942"
"44","Enero ",1,"13/01/1942","0","4.6",1,24.5,1942-01-13,"1942"
"45","Enero ",1,"14/01/1942","0","4.9",6,24.5,1942-01-14,"1942"
