"","FECHA","PRECIPmm","EVAPmm","tmin","tmax"
"1","01/01/1941","0","3.3",3.5,19.5
"2","02/01/1941","0","3.8",2.5,21.5
"3","03/01/1941","0","5.8",5.5,23.5
"4","04/01/1941","0","5.7",7.5,19
"5","05/01/1941","0","5",-4.5,21.5
"6","06/01/1941","0","4.9",-2.5,23.5
"7","07/01/1941","0","8.1",-3.5,23.5
"8","08/01/1941","0","5.3",-1,24.5
"9","09/01/1941","0.1","3.6",3,20.5
"10","10/01/1941","0.2","2.9",7,19
"11","11/01/1941","0.2","3.6",5,22
"12","12/01/1941","0","5.1",7.5,24.5
"13","13/01/1941","0","6.4",3.5,23
"14","14/01/1941","0","6.5",3.5,22.3
"15","15/01/1941","0","6.8",2,19.5
"16","16/01/1941","0","4.9",5,18
"17","17/01/1941","0","4.5",-1.5,21.5
"18","18/01/1941","0","4.7",-5,13
"19","19/01/1941","0","4.4",-1.5,20
"20","20/01/1941","0","5.5",-3,23.5
"21","21/01/1941","0","5.3",3.5,21
"22","22/01/1941","0","6",2,23
"23","23/01/1941","0","6.2",3.5,23.5
"24","24/01/1941","0","6.1",-5,23
"25","25/01/1941","0","7.8",0.5,24.5
"26","26/01/1941","0","7.3",-1,25
"27","27/01/1941","0","5.1",1,23.5
"28","28/01/1941","0","7",2.5,24.5
"29","29/01/1941","0","4.4",3.5,22
"30","30/01/1941","7.5","4",6.5,21.5
"31","31/01/1941","42.5","3.6",9.5,16
"32","01/02/1941","0","5.5",6,20
"33","02/02/1941","0","6.6",5,21
"34","03/02/1941","30","2.9",3.5,19.5
"35","04/02/1941","80","2.7",7.5,17
"36","05/02/1941","30","1.3",8.5,14
"37","06/02/1941","0","6.5",3,20.5
"38","07/02/1941","0","8.3",3.5,19.5
"39","08/02/1941","0","4.9",1,19
"40","09/02/1941","0","3.9",-3.5,17.5
"41","10/02/1941","0","5.3",-3,24
"42","11/02/1941","0","5.3",1,22.5
"43","12/02/1941","0","1.2",4,26
"44","13/02/1941","0","7.9",8.5,28.5
"45","14/02/1941","0","8.3",4.5,29.5
"46","15/02/1941","0","8.1",5.5,29.5
"47","16/02/1941","0","8.6",7,28.5
"48","17/02/1941","0","6",8.5,22
"49","18/02/1941","0","6.5",3.5,21.5
"50","19/02/1941","0","1.7",4.5,25.5
"51","20/02/1941","0","6.4",7,24.5
"52","21/02/1941","0","8.4",9.5,26.5
"53","22/02/1941","0","11.7",10.5,26
"54","23/02/1941","0","9",4.5,21.5
"55","24/02/1941","0","9.4",1.5,22.5
"56","25/02/1941","0","9.9",3.5,22.5
"57","26/02/1941","0","13.5",3.5,23.5
"58","27/02/1941","0","6",3,23
"59","28/02/1941","0","6.5",5.5,25
"60","01/03/1941","0","9.4",7,27
"61","02/03/1941","0","10.7",11,25
"62","03/03/1941","0","12.3",7.5,26
"63","04/03/1941","0","10.6",5.5,27
"64","05/03/1941","0","10.7",7,25.5
"65","06/03/1941","0","10.9",7.5,21.5
"66","07/03/1941","0","6.1",-2.5,20.5
"67","08/03/1941","0","6.6",-1,14
"68","09/03/1941","0","6.4",-6.5,23
"69","10/03/1941","0","7.9",1.5,24.5
"70","11/03/1941","0","10.9",5,24.5
"71","12/03/1941","0","10.8",8,25
"72","13/03/1941","0.1","11.5",2.5,27.5
"73","14/03/1941","0","12.7",10,22
"74","15/03/1941","0","9.3",7.5,26
"75","16/03/1941","0","12.5",11.5,26
"76","17/03/1941","0","5.7",11.5,25.5
"77","18/03/1941","0","6.3",8.5,21.5
"78","19/03/1941","50","9.4",5.5,21.5
"79","20/03/1941","0","9.6",6,22.5
"80","21/03/1941","0","9.8",2,21
"81","22/03/1941","0","7.9",0,23
"82","23/03/1941","0","9.8",8,23.5
"83","24/03/1941","0","11.3",5.3,21.5
"84","25/03/1941","0","10.2",4.5,25.5
"85","26/03/1941","0","10.6",4,25.5
"86","27/03/1941","0","7",4,24.5
"87","28/03/1941","0","14.1",4.5,25.5
"88","29/03/1941","0","13.7",10,27.5
"89","30/03/1941","0","12.2",7,27.5
"90","31/03/1941","0","Nulo",5,28.5
"91","01/04/1941","0","13.6",11,26.5
"92","02/04/1941","0","16.3",8.5,26.5
"93","03/04/1941","0","14.6",10,28
"94","04/04/1941","0","11.4",3.5,27
"95","05/04/1941","0","12",5.5,28.5
"96","06/04/1941","0","11.9",7.5,24.5
"97","07/04/1941","0","13.3",3.5,28
"98","08/04/1941","0","13.9",7,29
"99","09/04/1941","0","14.4",3.5,26
"100","10/04/1941","0","14",6,26
"101","11/04/1941","0","14.2",5,26.5
"102","12/04/1941","0","12.7",4.5,27
"103","13/04/1941","0","12.3",7.5,28
"104","14/04/1941","0","12",8.5,26.5
"105","15/04/1941","0","8.8",10.5,27.5
"106","16/04/1941","0","14.9",13.5,25.5
"107","17/04/1941","0","15",6.5,28
"108","18/04/1941","0","14.3",4,28.6
"109","19/04/1941","0","14.1",9,27
"110","20/04/1941","0","14.6",7,28.5
"111","21/04/1941","0","15.1",3.5,28
"112","22/04/1941","0","13.7",12.5,27
"113","23/04/1941","0","9.8",8,28
"114","24/04/1941","0","8.8",10.5,28
"115","25/04/1941","10","5.4",9.5,28.5
"116","26/04/1941","10","12.3",12.5,24
"117","27/04/1941","0","11.3",11,25.5
"118","28/04/1941","0","13",4.5,27
"119","29/04/1941","0","11.9",4.5,27.5
"120","30/04/1941","0","Nulo",5,27
"121","01/05/1941","0","13.1",9,26
"122","02/05/1941","0","13.8",11.5,25
"123","03/05/1941","0","14.8",7,27.5
"124","04/05/1941","0","14.1",10,29
"125","05/05/1941","0","10.1",12,27.5
"126","06/05/1941","0","10.7",5.5,29
"127","07/05/1941","0","12.1",8,31
"128","08/05/1941","0","12",9,32.5
"129","09/05/1941","0","11.4",11,33
"130","10/05/1941","0","12.9",11.5,30
"131","11/05/1941","0","14.8",10,31.5
"132","12/05/1941","0","11.7",11,31
"133","13/05/1941","0","10.2",12,30.5
"134","14/05/1941","0","11.9",13,32
"135","15/05/1941","0","12.1",15.5,31.5
"136","16/05/1941","0","10.5",13.5,31.5
"137","17/05/1941","0","8.6",16,29.5
"138","18/05/1941","22.5","7.9",10,27.5
"139","19/05/1941","0","13.1",7.5,29
"140","20/05/1941","0","12.7",11,29
"141","21/05/1941","0","14.2",10.5,31
"142","22/05/1941","0","12.3",12,30.5
"143","23/05/1941","0","12.2",9.5,32
"144","24/05/1941","0","10.4",13,30
"145","25/05/1941","0","10.3",13.5,30
"146","26/05/1941","0","11.1",11.5,28.5
"147","27/05/1941","0","11.5",11.5,29.5
"148","28/05/1941","2.5","8.6",14,31
"149","29/05/1941","0","9.5",12.5,29.5
"150","30/05/1941","0","9.3",13.5,30.5
"151","31/05/1941","0","11.1",13,31
"152","01/06/1941","0","13",15,32
