,Country,elec_limpia,e_renovable,exc,povrate,continent
47,Tunisia,1.40E+08,140,0,31.1,Africa
51,South Africa,3.20E+08,320,0,60.9,Africa
1,Argentina,2.22E+09,2220,0,11.2,Americas
6,Canada,1.94E+10,19398,0,0.5,Americas
9,Colombia,2.46E+09,2456,0,44.6,Americas
10,Costa Rica,1.68E+09,1680,0,15.6,Americas
14,Ecuador,2.39E+08,239,0,38.8,Americas
22,Honduras,1.60E+08,160,0,51.3,Americas
34,Mexico,8.62E+09,8616,0,38.1,Americas
37,Peru,6.74E+08,674,0,40.6,Americas
42,El Salvador,1.81E+09,1808,0,49.1,Americas
50,Uruguay,9.68E+08,968,0,12,Americas
8,China,7.03E+10,70255,0,62.5,Asia
25,Indonesia,9.46E+09,9457,0,82.5,Asia
28,Israel,1.39E+08,139,0,7.2,Asia
30,Japan,3.79E+10,37857,0,0.5,Asia
31,"Korea, Rep.",2.50E+09,2504,0,2.2,Asia
46,Thailand,3.41E+09,3412,0,27.4,Asia
3,Austria,6.62E+09,6617,0,0.8,Europe
4,Belgium,6.18E+09,6182,0,0.5,Europe
5,Bulgaria,7.31E+08,731,0,13.4,Europe
7,Switzerland,1.41E+09,1410,0,0.4,Europe
11,Czech Republic,3.11E+09,3113,0,0.9,Europe
12,Germany,8.39E+10,83856,0,0.2,Europe
13,Denmark,1.24E+10,12408,0,0.2,Europe
16,Spain,5.55E+10,55472,0,2.7,Europe
18,Finland,1.13E+10,11273,0,0.2,Europe
19,France,1.55E+10,15482,0,0.3,Europe
20,United Kingdom,2.22E+10,22220,0,1,Europe
21,Greece,3.06E+09,3062,0,2.6,Europe
23,Croatia,1.72E+08,172,0,6.6,Europe
24,Hungary,2.83E+09,2832,0,5.4,Europe
26,Ireland,3.13E+09,3129,0,1.7,Europe
27,Iceland,4.47E+09,4465,0,0.5,Europe
29,Italy,2.58E+10,25849,0,2.7,Europe
35,Netherlands,1.11E+10,11092,0,0.2,Europe
36,Norway,1.23E+09,1229,0,0.4,Europe
38,Poland,7.97E+09,7968,0,4.1,Europe
39,Portugal,1.22E+10,12205,0,2.6,Europe
40,Romania,4.17E+08,417,0,29.6,Europe
43,Slovak Republic,6.85E+08,685,0,3.4,Europe
44,Slovenia,2.31E+08,231,0,0.1,Europe
45,Sweden,1.57E+10,15703,0,1.3,Europe
15,"Egypt, Arab Rep.",1.70E+09,1704,0,70.6,Africa
17,Estonia,1.02E+09,1017,0,5.8,Europe
32,Lithuania,3.71E+08,371,0,10.4,Europe
33,Luxembourg,1.59E+08,159,0,0.3,Europe
41,Russian Federation,5.45E+08,545,0,7.2,Asia
48,Turkiye,3.92E+09,3916,0,18.2,Europe
49,Ukraine,2.39E+08,239,0,15.2,Europe
2,Australia,8.26E+09,8256,0,1,Oceania
