IDACUIFERO,Titular,Título,Uso,Autoridad que emite el acto,Fecha de registro,Volumen de extracción de aguas nacionales (m3/a?o),Número de anexos de aguas superficiales,Volumen de aguas superficiales (m3/a?o):,Número de anexos de aguas subterráneas,Volumen de aguas subterráneas (m3/a?o):,Número de anexos de descarga:,Volumen de descarga (m3/día):,Número de anexos de zonas federales:,Superficie (m2):
801,ELIZABETH SCHMITT WOLFE,844019,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44552,300000,0,0,1,300000,0,0,0,0
801,JOHAN NEUFELD LOEWEN,843634,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44533,120000,0,0,1,120000,0,0,0,0
801,DAVID WIEBE KNELSEN,841427,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44518,240000,0,0,1,240000,0,0,0,0
801,MARIA WIEBE KLASSEN,843341,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44516,179942,0,0,1,179942,0,0,0,0
801,"JOSE DOLORES ANDAZOLA TAPIA, MARCOS ANTONIO ANDAZOLA POSADAS",822170,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44501,132000,0,0,1,132000,0,0,0,0
801,GERHARD FRIESSEN ENNS,835769,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44483,150000,0,0,1,150000,0,0,0,0
801,LUZ MARIA LANDEROS VILLANUEVA,842587,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44482,360000,0,0,1,360000,0,0,0,0
801,HEINRICH NEUFELD NEUFELD,841438,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44475,120000,0,0,1,120000,0,0,0,0
801,PETER WALL DOERKSEN,841437,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44475,120000,0,0,1,120000,0,0,0,0
801,PRODUCTORA OVEJUNA S.P.R. DE R.L.,841017,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44461,318000,0,0,1,318000,0,0,0,0
801,KRISTINA WALL,835792,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44433,300000,0,0,1,300000,0,0,0,0
801,PEDRO MARTENS KRAHN,839659,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44420,10000,0,0,1,10000,0,0,0,0
801,JUAN ARTURO CASTRO HERNANDEZ,840617,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44396,118000,0,0,1,118000,0,0,0,0
801,"JOHAN KRAHN PETERS, JUSTINA NEUDORF FEHR",836352,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44382,168000,0,0,1,168000,0,0,0,0
801,HEINRICH GIENTER FRIESSEN,840116,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44376,120000,0,0,1,120000,0,0,0,0
801,"JOHAN KRAHN PETERS, JUSTINA NEUDORF FEHR",836091,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44361,200000,0,0,1,200000,0,0,0,0
801,JULIO CESAR APODACA PRIETO,839140,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44355,48000,0,0,1,48000,0,0,0,0
801,HELENA DYCK FEHR,836681,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44354,120000,0,0,1,120000,0,0,0,0
801,"PETER REMPEL THIESSEN, JOHAN REMPEL THIESSEN",838800,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44349,200000,0,0,1,200000,0,0,0,0
801,BERNARDO ALFONSO PRIETO GONZALEZ,838617,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44341,210000,0,0,1,210000,0,0,0,0
801,"CONCEPCION OCHOA MONGE, ABEL EDUARDO GOMEZ FERNANDEZ",836393,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44320,210000,0,0,1,210000,0,0,0,0
801,HORACIO GONZALEZ MALDONADO,819160,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44249,240000,0,0,1,240000,0,0,0,0
801,"CORNELIUS MARTENS KRAHN, ABRAHAM MARTENS KRAHN, MARIA MARTENS KRAHN",831839,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44246,220000,0,0,1,220000,0,0,0,0
801,"SECTOR COLECTIVO ""LAS PALMAS""",836455,AGRICOLA,DIRECCIÓN LOCAL CHIHUAHUA,44246,252000,0,0,1,252000,0,0,0,0
