"","FECHA","PRECIPmm","EVAPmm","date","mes","año","tipo","temperatura","Meses"
"1","01/01/1969","0","Nulo",1969-01-01,1,"1969","max",23,"Enero "
"2","02/01/1969","0","Nulo",1969-01-02,1,"1969","max",24,"Enero "
"3","03/01/1969","0","Nulo",1969-01-03,1,"1969","max",27.5,"Enero "
"4","04/01/1969","0","Nulo",1969-01-04,1,"1969","max",25.5,"Enero "
"5","05/01/1969","0","Nulo",1969-01-05,1,"1969","max",26.5,"Enero "
"6","06/01/1969","0","Nulo",1969-01-06,1,"1969","max",27.5,"Enero "
"7","07/01/1969","0","Nulo",1969-01-07,1,"1969","max",27.5,"Enero "
"8","08/01/1969","0","Nulo",1969-01-08,1,"1969","max",15.5,"Enero "
"9","09/01/1969","0","Nulo",1969-01-09,1,"1969","max",13.5,"Enero "
"10","10/01/1969","0","Nulo",1969-01-10,1,"1969","max",17,"Enero "
"11","11/01/1969","0","Nulo",1969-01-11,1,"1969","max",19,"Enero "
"12","12/01/1969","0.8","Nulo",1969-01-12,1,"1969","max",20,"Enero "
"13","13/01/1969","17","Nulo",1969-01-13,1,"1969","max",17,"Enero "
"14","14/01/1969","5.4","Nulo",1969-01-14,1,"1969","max",15,"Enero "
"15","15/01/1969","0","Nulo",1969-01-15,1,"1969","max",17.5,"Enero "
"16","16/01/1969","0","Nulo",1969-01-16,1,"1969","max",15.5,"Enero "
"17","17/01/1969","0","Nulo",1969-01-17,1,"1969","max",16,"Enero "
"18","18/01/1969","4","Nulo",1969-01-18,1,"1969","max",17.5,"Enero "
"19","19/01/1969","2.4","Nulo",1969-01-19,1,"1969","max",17.5,"Enero "
"20","20/01/1969","13","Nulo",1969-01-20,1,"1969","max",17.5,"Enero "
"21","21/01/1969","11","Nulo",1969-01-21,1,"1969","max",17,"Enero "
"22","22/01/1969","0","Nulo",1969-01-22,1,"1969","max",16,"Enero "
"23","23/01/1969","1.8","Nulo",1969-01-23,1,"1969","max",17.5,"Enero "
"24","24/01/1969","3.3","Nulo",1969-01-24,1,"1969","max",15.5,"Enero "
"25","25/01/1969","19.5","Nulo",1969-01-25,1,"1969","max",15,"Enero "
"26","26/01/1969","4.5","Nulo",1969-01-26,1,"1969","max",20,"Enero "
"27","27/01/1969","1.4","Nulo",1969-01-27,1,"1969","max",14,"Enero "
"28","28/01/1969","6.2","Nulo",1969-01-28,1,"1969","max",11.5,"Enero "
"29","29/01/1969","0","Nulo",1969-01-29,1,"1969","max",12.5,"Enero "
