"","Meses","mes","año","mesp"
"1","Enero ",1,"1969",90.3
"2","Enero ",1,"1970",4.3
"3","Enero ",1,"1971",17
"4","Enero ",1,"1972",0
"5","Enero ",1,"1973",45.5
"6","Enero ",1,"1974",71.2
"7","Enero ",1,"1975",14
"8","Enero ",1,"1976",0
"9","Enero ",1,"1977",38.4
"10","Enero ",1,"1978",119.6
"11","Enero ",1,"1979",115
"12","Enero ",1,"1980",191.6
"14","Enero ",1,"1982",77.7
"15","Enero ",1,"1983",52.2
"16","Enero ",1,"1984",13.5
"17","Enero ",1,"1985",14.1
"18","Enero ",1,"1986",22.3
"19","Enero ",1,"1987",40.8
"20","Enero ",1,"1988",65
"21","Enero ",1,"1989",11.3
"22","Enero ",1,"1990",79.3
"23","Enero ",1,"1991",39.7
"24","Enero ",1,"1992",49.6
"25","Enero ",1,"1993",216.1
"26","Enero ",1,"1994",20.5
"27","Enero ",1,"1995",145.5
"28","Enero ",1,"1996",33
"29","Enero ",1,"1997",70.3
"30","Enero ",1,"1998",33.8
"31","Enero ",1,"1999",23.1
"32","Enero ",1,"2000",6.5
"33","Enero ",1,"2001",90
"34","Enero ",1,"2002",2
"35","Enero ",1,"2003",3
"36","Enero ",1,"2004",11.5
"37","Enero ",1,"2005",64.4
"38","Enero ",1,"2006",3.5
"39","Enero ",1,"2007",16.4
"40","Enero ",1,"2008",100
"41","Enero ",1,"2009",2.4
"42","Enero ",1,"2010",205.7
"43","Enero ",1,"2011",20.4
"44","Enero ",1,"2012",4.5
"45","Febrero",2,"1969",82.6
"46","Febrero",2,"1970",66.4
"47","Febrero",2,"1971",26.7
"48","Febrero",2,"1972",2.5
"49","Febrero",2,"1973",60.5
"50","Febrero",2,"1974",4.9
"51","Febrero",2,"1975",20.5
"52","Febrero",2,"1976",107.1
"53","Febrero",2,"1977",11
"54","Febrero",2,"1978",124.6
"55","Febrero",2,"1979",20.2
"56","Febrero",2,"1980",197.8
"58","Febrero",2,"1982",27.6
"59","Febrero",2,"1983",109.4
"60","Febrero",2,"1984",0
"61","Febrero",2,"1985",32.2
"63","Febrero",2,"1987",75.1
"64","Febrero",2,"1988",20
"65","Febrero",2,"1989",5
"66","Febrero",2,"1990",23.5
"67","Febrero",2,"1991",42
"68","Febrero",2,"1992",108.4
"69","Febrero",2,"1993",143.2
"70","Febrero",2,"1994",84
"71","Febrero",2,"1995",62.8
"72","Febrero",2,"1996",47.1
"73","Febrero",2,"1997",33.2
"74","Febrero",2,"1998",233.5
"75","Febrero",2,"1999",18.1
"76","Febrero",2,"2000",85
"77","Febrero",2,"2001",83.5
"78","Febrero",2,"2002",1.5
"79","Febrero",2,"2003",118.5
"80","Febrero",2,"2004",71.5
"81","Febrero",2,"2005",84.5
"82","Febrero",2,"2006",3.5
"83","Febrero",2,"2007",27.2
"84","Febrero",2,"2008",31.5
"85","Febrero",2,"2009",61
"86","Febrero",2,"2010",71.8
"87","Febrero",2,"2011",107.5
"88","Febrero",2,"2012",50.8
"89","Marzo",3,"1969",51.5
"90","Marzo",3,"1970",59.7
"91","Marzo",3,"1971",2.3
"92","Marzo",3,"1972",0
"93","Marzo",3,"1973",106
"94","Marzo",3,"1974",31.5
"95","Marzo",3,"1975",58.1
"96","Marzo",3,"1976",37.1
"97","Marzo",3,"1977",31.8
"98","Marzo",3,"1978",143.1
"99","Marzo",3,"1979",117.3
"100","Marzo",3,"1980",85.8
"102","Marzo",3,"1982",108
"103","Marzo",3,"1983",161
"104","Marzo",3,"1984",1
"105","Marzo",3,"1985",22
"106","Marzo",3,"1986",78.5
"107","Marzo",3,"1987",32.9
"108","Marzo",3,"1988",19
"109","Marzo",3,"1989",29.1
"110","Marzo",3,"1990",11
"111","Marzo",3,"1991",141.5
"112","Marzo",3,"1992",110.1
"113","Marzo",3,"1993",22.6
"114","Marzo",3,"1994",60
"115","Marzo",3,"1995",97.6
"116","Marzo",3,"1996",54.5
"117","Marzo",3,"1997",0
"118","Marzo",3,"1998",112.1
"119","Marzo",3,"1999",23.3
"120","Marzo",3,"2000",28
"121","Marzo",3,"2001",28
"122","Marzo",3,"2002",22.1
"123","Marzo",3,"2003",51.5
"124","Marzo",3,"2004",10.5
"125","Marzo",3,"2005",14.6
"126","Marzo",3,"2006",67.1
"128","Marzo",3,"2008",12
"129","Marzo",3,"2009",0
"130","Marzo",3,"2010",26.8
"131","Marzo",3,"2011",31.8
"132","Marzo",3,"2012",52.4
"133","Abril",4,"1969",2.7
"134","Abril",4,"1970",10.6
"135","Abril",4,"1971",23
"136","Abril",4,"1972",1
"137","Abril",4,"1973",4.5
"138","Abril",4,"1974",3
"139","Abril",4,"1975",63.9
"140","Abril",4,"1976",24.7
"141","Abril",4,"1977",4.7
"142","Abril",4,"1978",29.4
"143","Abril",4,"1979",0.3
"144","Abril",4,"1980",24.3
"145","Abril",4,"1981",17.5
"146","Abril",4,"1982",8.5
"148","Abril",4,"1984",12.2
"149","Abril",4,"1985",5
"150","Abril",4,"1986",3
"151","Abril",4,"1987",13
"152","Abril",4,"1988",54.5
"153","Abril",4,"1989",0.5
"154","Abril",4,"1990",8.9
"155","Abril",4,"1991",0.6
"156","Abril",4,"1992",1.5
"157","Abril",4,"1993",0
"158","Abril",4,"1994",18.6
"159","Abril",4,"1995",31.1
"160","Abril",4,"1996",2.5
"161","Abril",4,"1997",8.5
"162","Abril",4,"1998",38.6
"163","Abril",4,"1999",46.2
"164","Abril",4,"2000",9
"165","Abril",4,"2001",31.5
"166","Abril",4,"2002",8
"167","Abril",4,"2003",27.7
"168","Abril",4,"2004",8
"169","Abril",4,"2005",5.5
"170","Abril",4,"2006",29.5
"172","Abril",4,"2008",0
"173","Abril",4,"2009",5.7
"174","Abril",4,"2010",38.9
"175","Abril",4,"2011",15.5
"176","Abril",4,"2012",46.9
"177","Mayo",5,"1969",10
"178","Mayo",5,"1970",0
"179","Mayo",5,"1971",11
"180","Mayo",5,"1972",3
"181","Mayo",5,"1973",1
"182","Mayo",5,"1974",0
"183","Mayo",5,"1975",0
"184","Mayo",5,"1976",0
"185","Mayo",5,"1977",22.5
"186","Mayo",5,"1978",0
"187","Mayo",5,"1979",9
"188","Mayo",5,"1980",11.5
"189","Mayo",5,"1981",0
"191","Mayo",5,"1983",3
"192","Mayo",5,"1984",0
"193","Mayo",5,"1985",0
"194","Mayo",5,"1986",0
"195","Mayo",5,"1987",3
"196","Mayo",5,"1988",0
"197","Mayo",5,"1989",1.6
"198","Mayo",5,"1990",6.5
"199","Mayo",5,"1991",0.2
"200","Mayo",5,"1992",19.7
"201","Mayo",5,"1993",3
"202","Mayo",5,"1994",0
"203","Mayo",5,"1995",11
"204","Mayo",5,"1996",0
"205","Mayo",5,"1997",0
"206","Mayo",5,"1998",17.1
"207","Mayo",5,"1999",0.1
"208","Mayo",5,"2000",0
"209","Mayo",5,"2001",0
"210","Mayo",5,"2002",0
"211","Mayo",5,"2003",3
"212","Mayo",5,"2004",0
"213","Mayo",5,"2005",3.5
"214","Mayo",5,"2006",16
"215","Mayo",5,"2007",3.8
"216","Mayo",5,"2008",8.7
"217","Mayo",5,"2009",0
"218","Mayo",5,"2010",0
"219","Mayo",5,"2011",32.7
"220","Mayo",5,"2012",0
"221","Junio",6,"1969",0
"222","Junio",6,"1970",0
"223","Junio",6,"1971",0
"224","Junio",6,"1972",43
"225","Junio",6,"1973",0
"226","Junio",6,"1974",0
"227","Junio",6,"1975",1
"228","Junio",6,"1976",0
"229","Junio",6,"1977",2.8
"230","Junio",6,"1978",0
"231","Junio",6,"1979",0
"232","Junio",6,"1980",0
"233","Junio",6,"1981",0
"235","Junio",6,"1983",0
"236","Junio",6,"1984",0
"237","Junio",6,"1985",0
"238","Junio",6,"1986",0
"239","Junio",6,"1987",0
"240","Junio",6,"1988",0
"241","Junio",6,"1989",0
"242","Junio",6,"1990",3
"243","Junio",6,"1991",0
"244","Junio",6,"1992",0
"245","Junio",6,"1993",3.5
"246","Junio",6,"1994",0
"247","Junio",6,"1995",5.5
"248","Junio",6,"1996",0
"249","Junio",6,"1997",4.7
