meses,mes,fecha,precipitacion
Enero ,1,1969,90.3
Enero ,1,1970,4.3
Enero ,1,1971,17
Enero ,1,1972,0
Enero ,1,1973,45.5
Enero ,1,1974,71.2
Enero ,1,1975,14
Enero ,1,1976,0
Enero ,1,1977,38.4
Enero ,1,1978,119.6
Enero ,1,1979,115
Enero ,1,1980,191.6
Enero ,1,1982,77.7
Enero ,1,1983,52.2
Enero ,1,1984,13.5
Enero ,1,1985,14.1
Enero ,1,1986,22.3
Enero ,1,1987,40.8
Enero ,1,1988,65
Enero ,1,1989,11.3
Enero ,1,1990,79.3
Enero ,1,1991,39.7
Enero ,1,1992,49.6
Enero ,1,1993,216.1
Enero ,1,1994,20.5
Enero ,1,1995,145.5
Enero ,1,1996,33
Enero ,1,1997,70.3
Enero ,1,1998,33.8
Enero ,1,1999,23.1
Enero ,1,2000,6.5
Enero ,1,2001,90
Enero ,1,2002,2
Enero ,1,2003,3
Enero ,1,2004,11.5
Enero ,1,2005,64.4
Enero ,1,2006,3.5
Enero ,1,2007,16.4
Enero ,1,2008,100
Enero ,1,2009,2.4
Enero ,1,2010,205.7
Enero ,1,2011,20.4
Enero ,1,2012,4.5
Febrero,2,1969,82.6
Febrero,2,1970,66.4
Febrero,2,1971,26.7
Febrero,2,1972,2.5
Febrero,2,1973,60.5
Febrero,2,1974,4.9
Febrero,2,1975,20.5
Febrero,2,1976,107.1
Febrero,2,1977,11
Febrero,2,1978,124.6
Febrero,2,1979,20.2
Febrero,2,1980,197.8
Febrero,2,1982,27.6
Febrero,2,1983,109.4
Febrero,2,1984,0
Febrero,2,1985,32.2
Febrero,2,1987,75.1
Febrero,2,1988,20
Febrero,2,1989,5
Febrero,2,1990,23.5
Febrero,2,1991,42
Febrero,2,1992,108.4
Febrero,2,1993,143.2
Febrero,2,1994,84
Febrero,2,1995,62.8
Febrero,2,1996,47.1
Febrero,2,1997,33.2
Febrero,2,1998,233.5
Febrero,2,1999,18.1
Febrero,2,2000,85
Febrero,2,2001,83.5
Febrero,2,2002,1.5
Febrero,2,2003,118.5
Febrero,2,2004,71.5
Febrero,2,2005,84.5
Febrero,2,2006,3.5
Febrero,2,2007,27.2
Febrero,2,2008,31.5
Febrero,2,2009,61
Febrero,2,2010,71.8
Febrero,2,2011,107.5
Febrero,2,2012,50.8
Marzo,3,1969,51.5
Marzo,3,1970,59.7
Marzo,3,1971,2.3
Marzo,3,1972,0
Marzo,3,1973,106
Marzo,3,1974,31.5
Marzo,3,1975,58.1
Marzo,3,1976,37.1
Marzo,3,1977,31.8
Marzo,3,1978,143.1
Marzo,3,1979,117.3
Marzo,3,1980,85.8
Marzo,3,1982,108
Marzo,3,1983,161
Marzo,3,1984,1
Marzo,3,1985,22
Marzo,3,1986,78.5
Marzo,3,1987,32.9
Marzo,3,1988,19
Marzo,3,1989,29.1
Marzo,3,1990,11
Marzo,3,1991,141.5
Marzo,3,1992,110.1
Marzo,3,1993,22.6
Marzo,3,1994,60
Marzo,3,1995,97.6
Marzo,3,1996,54.5
Marzo,3,1997,0
Marzo,3,1998,112.1
Marzo,3,1999,23.3
Marzo,3,2000,28
Marzo,3,2001,28
Marzo,3,2002,22.1
Marzo,3,2003,51.5
Marzo,3,2004,10.5
Marzo,3,2005,14.6
Marzo,3,2006,67.1
